channel_id,channel_name,category,subscribers,total_views,total_videos,recent_video_count,avg_recent_views,median_recent_views,avg_duration_seconds,posting_interval_days,avg_engagement_rate,view_per_subscriber,latest_video_title,latest_video_url,latest_video_views,latest_video_published_at
UCQeRaTukNYft1_6AZPACnog,Asmongold TV  ,Trending,4220000,4646670805,6522,8,487539.88,495138.5,1988.62,0.29,0.0487,1101.1068,I've been playing League off stream..,https://www.youtube.com/watch?v=Y7ssEQd8QPU,22610,2025-12-10T13:03:47+00:00
UC2uQvUg3YYzoOtj1yZLT0Ow,FoltynPlays,Trending,4170000,751804864,1050,8,419773.88,370557.5,950.5,1.73,0.0285,180.2889,I Built the DEADLIEST BASE in 99 Nights in the Forest!,https://www.youtube.com/watch?v=aS2kRCJaQO4,321454,2025-12-09T19:53:37+00:00
UCz9yS18zJGQObwUL_K-ICnw,KarolGVEVO,Trending,3900000,25291480642,135,8,456718.0,112632.0,196.12,11.32,0.0331,6484.995,KAROL G - Ivonny Bonita (Official Video),https://www.youtube.com/watch?v=YcBUfrOguRQ,2651622,2025-12-07T23:00:43+00:00
UC1HL3TABt6QGd_P857BH_CA,Evbo,Trending,3730000,1199492322,162,8,2003639.0,1967627.5,1908.88,38.29,0.0287,321.5797,Minecraft but I become the PARKOUR GOD in PVP CIVILIZATION,https://www.youtube.com/watch?v=AYRJP6UKPeA,251801,2025-12-09T23:12:48+00:00
UCY0R0Ck6qK2deVTKkfWJIEA,CashBlox,Trending,3670000,1371246523,1010,8,823278.75,835041.5,1009.62,1.0,0.0381,373.6367,"Going 9,513,724 MPH in Roblox ride a cart down a SLIDE…",https://www.youtube.com/watch?v=uChCQ92lr4Q,29204,2025-12-10T12:23:18+00:00
UClyGlKOhDUooPJFy4v_mqPg,DougDoug,Trending,3070000,759529118,233,8,1215270.12,1218110.5,2166.12,16.85,0.0521,247.4036,"Chess, but every piece is controlled by a viewer",https://www.youtube.com/watch?v=x0clwyeECs8,534458,2025-12-09T21:32:07+00:00
UClylk2CQZtH7bSOuNJ66k4A,ImStillDontai,Trending,3000000,1159542008,3056,8,78254.5,50237.5,1748.88,0.13,0.0622,386.514,ImDOntai Reacts To Ash vs Yugi Death Battle,https://www.youtube.com/watch?v=OPxXvS9gnGU,29645,2025-12-09T20:06:48+00:00
UCn0JHLJWiO3_Y5xfNPcF_Ug,Christmas Songs and Carols - Love to Sing,Trending,2930000,1637018441,1141,8,454895.75,266069.5,7030.25,0.86,0.0111,558.7094,Top Christmas Songs of All Time 🎅 Best Christmas Music 2026,https://www.youtube.com/watch?v=LGL1GUGEQhs,816,2025-12-10T11:15:05+00:00
UCIIPl-DSCC0prKxGGnJrdGQ,Austin John Plays,Trending,2510000,758269710,1393,8,168661.25,154463.0,620.75,2.64,0.0396,302.0995,Every NEW MEGA & Returning Pokemon in Legends Z-A Mega Dimension,https://www.youtube.com/watch?v=WyBF5pSRz_Y,149049,2025-12-10T03:29:31+00:00
UCifRgVk-GEo1_vvf8x53t6A,Soup,Trending,2420000,771800902,1111,8,208812.0,200284.5,3967.38,2.71,0.0587,318.926,minecraft let’s play episode #1 ,https://www.youtube.com/watch?v=CzBhB1KHvEI,145816,2025-12-09T22:01:32+00:00
UC86Zlc-v_kkZ-yKG2cJZkxQ,CeCe Winans,Trending,2360000,1042774170,580,8,57545.25,38897.0,58.12,1.56,0.0452,441.8535,National Anthem - CeCe Winans - Thanksgiving Day,https://www.youtube.com/watch?v=uPoAFIKS5Fg,34591,2025-12-09T16:26:29+00:00
UC9bZ9eWvF0eXVqrxK9ve7Nw,theofficialGloRilla,Trending,2340000,1763746992,123,8,524648.75,116936.5,71.88,19.53,0.0514,753.738,GloRilla - Special (Official Music Video),https://www.youtube.com/watch?v=_l6KI3Egrfo,1963918,2025-12-08T18:01:06+00:00
UCvZHe-SP3xC7DdOk4Ri8QBw,Bethesda Softworks,Trending,2090000,718461718,1311,8,31103.0,14877.5,2665.12,3.66,0.0692,343.7616,Skyrim - Nintendo Switch 2 Reveal Trailer,https://www.youtube.com/watch?v=nHxhOQsSj6E,70286,2025-12-09T16:59:48+00:00
UCkyRXzzqd2DQVRu4xnc0GnA,KAYE,Trending,1910000,401260673,434,8,512115.38,418403.0,1379.75,0.53,0.0233,210.0841,All Steal A Brainrots Meet Their DARK VERSION..,https://www.youtube.com/watch?v=D_YstW0cAJ8,65687,2025-12-10T06:44:47+00:00
UCmkTBtGbf0gSPnHN_slNrOQ,Caleb Hyles,Trending,1810000,761670632,1082,8,25914.5,17133.0,65.25,2.57,0.0657,420.8125,BRIGHTER [Metal Ver.] - Hazbin Hotel (Sam Haft) - Caleb Hyles Cover,https://www.youtube.com/watch?v=h_TAtDWN_X8,51596,2025-12-09T22:30:25+00:00
UCOb-ws0S8DmfU4nq4M4z6Rw,Aimin,Trending,1660000,509654955,408,8,1846086.0,1678289.5,635.0,4.56,0.0321,307.0211,They Gave Me Fredbear's Speed...,https://www.youtube.com/watch?v=-Xaqd9xzuOw,846754,2025-12-09T22:23:23+00:00
UCf5CjDJvsFvtVIhkfmKAwAA,Amazon MGM Studios,Trending,1650000,1558216128,2047,8,798773.38,2045.0,148.12,0.18,0.0277,944.3734,Nick and Noah's Most Passionate Moments | Culpa Mía & Culpa Tuya | Amazon MGM,https://www.youtube.com/watch?v=cKzAbvEpjZY,21913,2025-12-09T22:00:45+00:00
