channel_id,channel_name,category,subscribers,total_views,total_videos,recent_video_count,avg_recent_views,median_recent_views,avg_duration_seconds,posting_interval_days,avg_engagement_rate,view_per_subscriber,latest_video_id,latest_video_title,latest_video_url,latest_video_views,latest_video_published
UCi8e0iOVk1fEOogdfu4YgfA,Rotten Tomatoes Trailers,Trending,16000000,13823180285,12818,10,123180.3,89627.5,114.8,0.65,0.0103,863.95,ObarMeTOtsM,Avatar: Fire and Ash Featurette - The Windtraders (2025),https://www.youtube.com/watch?v=ObarMeTOtsM,64165,2025-12-30T18:17:40.000Z
UCm-X6o81nRsXQTmqpyArkBQ,Flamingo,Trending,14200000,12256968968,2753,10,1316712.1,1272890.5,1331,2.01,0.047,863.17,b6PjGXJiB60,Roblox FNAF but my friends betrayed me.,https://www.youtube.com/watch?v=b6PjGXJiB60,1038443,2025-12-31T04:56:12.000Z
UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,Kids,13400000,3234129224,1909,10,202798.9,215216.5,17.6,0.78,0.0531,241.35,YQjdNjVMM7I,What's your New Year's resolution?,https://www.youtube.com/watch?v=YQjdNjVMM7I,8866,2026-01-01T14:00:01.000Z
UC0eLBYhxW9HC0P9PXQ73mpQ,Cash,Trending,10400000,3012452315,1314,10,426453.4,496404,1042.1,0.89,0.0177,289.66,F7LbUKy9nFc,NOOB vs PRO Cruise Battle in Minecraft!,https://www.youtube.com/watch?v=F7LbUKy9nFc,27800,2026-01-01T15:00:32.000Z
UCVS88tG_NYgxF6Udnx2815Q,Lil Baby Official ,Trending,10300000,11003338781,132,10,903251,459347,127.2,3.13,0.0358,1068.29,QK1zXP0NTeM,Lil Baby - Violation (Official Music Video),https://www.youtube.com/watch?v=QK1zXP0NTeM,219829,2025-12-31T20:57:16.000Z
UChFur_NwVSbUozOcF_F2kMg,Mumbo Jumbo,Trending,9730000,3349862049,2174,10,1948049.8,1759247.5,2040.4,6.87,0.0544,344.28,J41oDT8XD5E,Hermitcraft 11: Episode 7 - ALL the Farms,https://www.youtube.com/watch?v=J41oDT8XD5E,794293,2025-12-31T16:00:27.000Z
UC63anZxfVGHUEmfBAf5w7pw,CaseOh,Trending,9440000,1870870754,2073,10,314485,201670.5,3278.8,0.46,0.0451,198.19,jIqiEQZoALg,Jynxzi Kept Selling Our Runs,https://www.youtube.com/watch?v=jIqiEQZoALg,37920,2026-01-01T02:00:49.000Z
UCsPMNatXCwqyUuJilBT73jg,CaylusBlox,Trending,7950000,2479589068,655,10,1410988.2,1092826.5,3776.3,0.69,0.0197,311.9,ycr3FNkHZ-o,I Opened 100 TOILET LUCKY BLOCKS..,https://www.youtube.com/watch?v=ycr3FNkHZ-o,451969,2026-01-01T00:08:24.000Z
UCFrVj6wBM42y3XuKCAj8n5A,SB737,Trending,4740000,1891980391,2401,10,772782.5,760389,1662.3,9.82,0.0387,399.15,E1s2PeO8B2k,I Went Back for ClownPierce... (Lifesteal SMP),https://www.youtube.com/watch?v=E1s2PeO8B2k,541939,2025-12-31T20:20:56.000Z
UC7yRILFFJ2QZCykymr8LPwA,New Rockstars,Trending,4320000,2124015756,4030,10,300098.8,262259,1078,0.98,0.0332,491.67,BFpQVUs6V5M,FALLOUT 2x03 BREAKDOWN! Easter Eggs & Details You Missed!,https://www.youtube.com/watch?v=BFpQVUs6V5M,45559,2025-12-31T17:25:45.000Z
UCksiqtuWYtN2YluvAQnV2dQ,Doechii,Trending,3170000,1234985125,300,10,6218089.3,163103,93.1,28.91,0.0546,389.59,jBKJbedSrA0,"Doechii - girl, get up. (Feat. SZA)",https://www.youtube.com/watch?v=jBKJbedSrA0,738790,2025-12-30T20:08:40.000Z
UCrM9nTFI3xCUQ3vP8tTlcHg,Chris Jedi,Trending,2860000,2415866223,1,10,9921911.7,4270620.5,198.5,128.2,0.0203,844.71,3g_nhqocOb8,"Anuel AA, Chris Jedi, ROA - NETFLIX AND CHILL",https://www.youtube.com/watch?v=3g_nhqocOb8,611477,2025-12-31T20:00:05.000Z
UCE5mQnNl8Q4H2qcv4ikaXeA,Hulu,Trending,2630000,1019747114,4180,10,167548.2,3678.5,157.7,0.46,0.0317,387.74,4TED13nGxdM,It’s my birthday and I’ll lie if I want too #TellMeLies #Hulu,https://www.youtube.com/watch?v=4TED13nGxdM,3247,2025-12-30T23:00:14.000Z
UCOQfu4KyKnC3Orfiw72asfA,GRUPO5,Trending,2470000,2593921880,434,10,224134.7,40649.5,93.4,0.99,0.0252,1050.17,4Y-NlGufajY,Grupo 5 - Mix Anaconda: No Es Mi Problema / Anaconda (Video Oficial),https://www.youtube.com/watch?v=4Y-NlGufajY,151968,2025-12-30T21:00:07.000Z
UC0032Wkd3aCT4rRi1YOV3gQ,BigGucci Sosa,Trending,2270000,1288135011,603,10,213025.5,45400.5,140.5,27.02,0.0465,567.46,DOcVSCICTLU,Chief Keef -  Harry Potter (Official Music Video),https://www.youtube.com/watch?v=DOcVSCICTLU,354433,2025-12-31T20:00:06.000Z
UC1Myj674wRVXB9I4c6Hm5zA,Apple TV,Trending,2250000,1707631337,3442,10,316925.6,20874,301.9,0.67,0.0256,758.95,o8JDbR-hMEE,Pluribus — Rhea Seehorn The Painter | Inside Look | Apple TV,https://www.youtube.com/watch?v=o8JDbR-hMEE,22241,2025-12-30T19:00:51.000Z
UCgMJGv4cQl8-q71AyFeFmtg,ScreenCrush,Trending,1830000,669761793,2863,10,154532.4,135897,934.1,0.85,0.0394,365.99,1-HoSwL8C1Y,Why Stewie Griffin Had to Change to Save Family Guy,https://www.youtube.com/watch?v=1-HoSwL8C1Y,2428,2026-01-01T14:00:06.000Z
